Date,Revenue,Expense,Profit 
2025-01-01,10000,5000,5000
2025-01-02,15000,7000,8000
2025-01-03,20000,12000,8000
2025-01-04,18000,9000,9000
2025-01-05,12000,6000,6000
2025-01-06,22000,11000,11000
2025-01-07,25000,13000,12000
2025-01-08,19000,10000,9000
2025-01-09,21000,11500,9500
2025-01-10,23000,12500,10500
2025-01-11,17000,8500,8500
2025-01-12,14000,7000,7000
2025-01-13,24000,13000,11000
2025-01-14,26000,14000,12000
2025-01-15,20000,11000,9000
2025-01-16,22000,12000,10000
2025-01-17,25000,13500,11500
2025-01-18,18000,9500,8500
2025-01-19,16000,8000,8000
2025-01-20,27000,14500,12500
2025-01-21,28000,15000,13000
2025-01-22,23000,12500,10500
2025-01-23,24000,13000,11000
2025-01-24,26000,14000,12000
2025-01-25,19000,10000,9000
2025-01-26,17000,9000,8000
2025-01-27,29000,15500,13500
2025-01-28,30000,16000,14000
2025-01-29,25000,13500,11500
2025-01-30,26000,14000,12000
2025-01-31,28000,15000,13000
2025-02-01,21000,11000,10000
2025-02-02,18000,9500,8500
2025-02-03,31000,16500,14500
2025-02-04,32000,17000,15000
2025-02-05,27000,14500,12500
2025-02-06,28000,15000,13000
2025-02-07,30000,16000,14000
2025-02-08,22000,11500,10500
2025-02-09,19000,10000,9000
2025-02-10,33000,17500,15500
2025-02-11,34000,18000,16000
2025-02-12,29000,15500,13500
2025-02-13,30000,16000,14000
2025-02-14,32000,17000,15000
2025-02-15,23000,12000,11000
2025-02-16,20000,10500,9500
2025-02-17,35000,18500,16500
2025-02-18,36000,19000,17000
2025-02-19,31000,16500,14500
2025-02-20,32000,17000,15000
2025-02-21,34000,18000,16000
2025-02-22,24000,12500,11500
2025-02-23,21000,11000,10000
2025-02-24,37000,19500,17500
2025-02-25,38000,20000,18000
2025-02-26,33000,17500,15500
2025-02-27,34000,18000,16000
2025-02-28,36000,19000,17000
2025-03-01,25000,13000,12000
2025-03-02,22000,11500,10500
2025-03-03,39000,20500,18500
2025-03-04,40000,21000,19000
2025-03-05,35000,18500,16500
2025-03-06,36000,19000,17000
2025-03-07,38000,20000,18000
2025-03-08,26000,13500,12500
2025-03-09,23000,12000,11000
2025-03-10,41000,21500,19500
2025-03-11,42000,22000,20000
2025-03-12,37000,19500,17500
2025-03-13,38000,20000,18000
2025-03-14,40000,21000,19000
2025-03-15,27000,14000,13000
2025-03-16,24000,12500,11500
2025-03-17,43000,22500,20500
2025-03-18,44000,23000,21000
2025-03-19,39000,20500,18500
2025-03-20,40000,21000,19000
2025-03-21,42000,22000,20000
2025-03-22,28000,14500,13500
2025-03-23,25000,13000,12000
2025-03-24,45000,23500,21500
2025-03-25,46000,24000,22000
2025-03-26,41000,21500,19500
2025-03-27,42000,22000,20000
2025-03-28,44000,23000,21000
2025-03-29,29000,15000,14000
2025-03-30,26000,13500,12500
2025-03-31,47000,24500,22500
2025-04-01,48000,25000,23000
2025-04-02,43000,22500,20500
2025-04-03,44000,23000,21000